Player,Squad,Comp,Pos,Min,Gls,xG,npxG,Ast,xAG,Sh/90,SoT/90,PrgC,PrgP,PrgR,Cmp%,KP,xA,TklW,Int,Tkl+Int,Clr,Succ%,Carries,Touches
Bobby De Cordova-Reid,Leicester City,eng Premier League,FW,744,1,0.8,0.8,2,1.2,0.85,0.36,14,15,48,70.4,6,0.2,4,0,9,10,0.0,174,272
Liam Delap,Ipswich Town,eng Premier League,FW,2593,12,9.3,7.8,2,1.9,2.29,1.01,61,30,110,61.3,21,1.4,8,2,13,28,46.5,445,682
Ermedin Demirović,Stuttgart,de Bundesliga,FW,1855,15,14.1,12.4,1,1.9,3.11,1.31,20,31,115,70.3,18,1.7,7,3,15,12,20.0,305,582
Sepp van den Berg,Brentford,eng Premier League,DF,2586,0,2.0,2.0,0,0.8,0.7,0.21,12,79,28,85.4,6,0.5,24,21,60,134,57.1,737,1605
Amad Diallo,Manchester Utd,eng Premier League,"MF,FW",1901,8,4.7,4.7,6,4.9,2.23,0.8,109,60,200,83.8,49,4.2,31,11,49,19,46.6,782,1207
Rúben Dias,Manchester City,eng Premier League,DF,2271,0,1.5,1.5,0,0.3,0.83,0.28,43,160,8,93.5,5,1.2,11,20,37,71,66.7,1775,2499
Luis Díaz,Liverpool,eng Premier League,FW,2399,13,12.0,12.0,5,5.0,2.66,1.13,108,110,293,84.2,56,4.5,26,7,46,7,45.7,780,1184
Tyler Dibling,Southampton,eng Premier League,"FW,MF",1874,2,2.5,2.5,0,1.5,1.34,0.43,69,64,96,81.3,20,1.5,20,8,42,16,40.9,558,868
Eric Dier,Bayern Munich,de Bundesliga,DF,1463,2,1.1,1.1,1,0.1,0.55,0.31,12,73,1,93.8,3,1.2,11,20,39,77,66.7,944,1591
Lucas Digne,Aston Villa,eng Premier League,DF,2351,0,0.8,0.8,4,4.7,0.5,0.11,23,57,142,74.9,36,4.0,38,25,90,89,47.4,683,1527
Eren Dinkçi,Freiburg,de Bundesliga,"MF,FW",1196,0,1.1,1.1,3,2.2,1.05,0.23,33,35,71,75.4,23,1.2,13,7,28,7,41.0,269,552
Issa Diop,Fulham,eng Premier League,DF,1339,0,0.5,0.5,0,0.1,0.34,0.13,6,25,3,87.5,3,0.1,12,9,35,72,50.0,533,903
Ritsu Doan,Freiburg,de Bundesliga,"FW,MF",2862,10,6.6,6.6,7,3.7,1.92,0.66,64,130,178,71.8,27,5.9,42,14,80,47,44.1,827,1537
Danilho Doekhi,Union Berlin,de Bundesliga,DF,3060,1,2.6,2.6,1,1.4,0.94,0.12,13,96,14,78.3,13,0.9,24,44,81,169,60.0,883,1654
