player,moving_from,moving_to,fee,date,register_country
Sheffield Wednesday,Rochdale,Free,,Zain Silcott-Duberry,England
Harrogate Town,Walsall,Undisclosed,,Reece Smith,England
Cheltenham Town,Doncaster Rovers,Free,,Jordan Thomas,England
Anderlecht,Birmingham City,Undisclosed,,Luis Vázquez,England
Sebastian Berhalter,Vancouver Whitecaps,Middlesbrough,Undisclosed,29 July 2026,England
Reading,AC Horsens,Undisclosed,,Kelvin Ehibhatiomhan,England
Shrewsbury Town,Gillingham,Free,,Nick Freeman,England
Crystal Palace,Wrexham,Undisclosed,,Danny Imray,England
Notts County,Casa Pia,Undisclosed,,Alassana Jatta,England
Burnley,Paris FC,Undisclosed,,Luca Koleosho,England
Wrexham,Rotherham United,Free,,Paul Mullin,England
Southampton,Gillingham,Free,,Samuel Tabares,England
Courtney Baker-Richardson,Newport County,Tranmere Rovers,Free,30 July 2026,England
Manchester United,Lausanne-Sport,Undisclosed,,Tyler Fredricson,England
Crystal Palace,Chelsea,£52m,,Maxence Lacroix,England
Palermo,Birmingham City,Undisclosed,,Kristoffer Lund,England
West Ham United,Luton Town,Undisclosed,,Callum Marshall,England
Manchester City,Inter Milan,Free,,John Stones,England
Milton Keynes Dons,Sheffield Wednesday,Free,,Connal Trueman,England
Luca Ashby-Hammond,Plymouth Argyle,Stockport County,Free,31 July 2026,England
Swansea City,Leicester City,Undisclosed,,Liam Cullen,England
Gillingham,Barnsley,Undisclosed,,Sam Gale,England
Dundee United,Sheffield Wednesday,Free,,Ashley Maynard-Brewer,England
Tranmere Rovers,Port Vale,Free,,Aaron McGowan,England
Dundee,Port Vale,Free,,Lewis Montsma,England
Bologna,Watford,Undisclosed,,Federico Ravaglia,England
Mamadou Sangaré,Lens,Brentford,Undisclosed,1 August 2026,England
Benfica,Bournemouth,£25.7m,,António Silva,England
Brighton & Hove Albion,Chelsea,£5m,,Danny Welbeck,England
Tariq Al-Sadi,Unattached,Leyton Orient,Free,2 August 2026,England
Strasbourg,Chelsea,£34m,,Valentín Barco,England
Derby County,Millwall,Free,,Danny Batth,England
Harry Boyes,Southend United,York City,Undisclosed,3 August 2026,England
Real Madrid,Fulham,£34m,,Gonzalo García,England
Brentford,Chelsea,Free,,Jordan Henderson,England
Braga,Newcastle United,£25.7m,,Lukáš Horníček,England
Brentford,Gillingham,Undisclosed,,Conor McManus,England
Real Madrid,Fulham,Undisclosed,,César Palacios,England
Oxford United,Tranmere Rovers,Undisclosed,,Will Vaulks,England
Ahmed Abdullahi,Sunderland,Eyüpspor,Undisclosed,4 August 2026,England
Columbus Crew,Middlesbrough,Undisclosed,,Max Arfsten,England
Leyton Orient,Bristol City,Undisclosed,,Dom Ballard,England
Harrogate Town,Oldham Athletic,Free,,Thomas Hill,England
Burnley,Ipswich Town,Undisclosed,,Florentino Luís,England
Dunfermline Athletic,Rotherham United,Free,,Kieran Ngwenya,England
West Ham United,Club Brugge,Undisclosed,,Freddie Potts,England
Brighton & Hove Albion,Coventry City,£22m,,Carl Rushworth,England
Stevenage,Port Vale,Free,,Tyreece Simpson,England
Wigan Athletic,Rochdale,Undisclosed,,Jonny Smith,England
Lorient,Norwich City,Free,,Darlin Yongwa,England
Ben Amos,Port Vale,Burnley,Free,5 August 2026,England
Bath City,Bristol Rovers,Free,,Charlie Binns,England
Portsmouth,Huddersfield Town,Undisclosed,,Ibane Bowat,England
Oxford United,Rotherham United,Free,,Tom Bradshaw,England
Brann,West Bromwich Albion,Undisclosed,,Felix Horn Myhre,England
St Mirren,Stockport County,Free,,Mikael Mandron,England
Lincoln City,Cardiff City,Undisclosed,,Jack Moylan,England
Arsenal,Everton,£7m,,Christian Nørgaard,England
Port Vale,AFC Wimbledon,Undisclosed,,Jayden Stockley,England
Derby County,Mansfield Town,Undisclosed,,Liam Thompson,England
Olympiacos,Hull City,£20m,,Konstantinos Tzolakis,England
Everton,Bradford City,Free,,Reece Welch,England
Preston North End,Wrexham,Undisclosed,,Benjamin Whiteman,England
Daniel Barden,Norwich City,Stevenage,Free,6 August 2026,England
Ipswich Town,Leicester City,Undisclosed,,Wes Burns,England
Charlton Athletic,Millwall,Free,,Lyndon Dykes,England
Bournemouth,Wigan Athletic,Undisclosed,,Archie Harris,England
Olympic Kingsway,Swindon Town,Free,,Kaelan Majekodunmi,England
West Bromwich Albion,Grazer AK,Undisclosed,,Souleyman Mandey,England
Liverpool,Trabzonspor,Free,,Mohamed Salah,England
Southampton,Swansea City,Free,,Ross Stewart,England
Manchester City,Leeds United,£45m,,James Trafford,England
Brighton & Hove Albion,West Ham United,Free,,Joël Veltman,England
Sonny Aljofree,Manchester United,Rotherham United,Free,7 August 2026,England
Northampton Town,Notts County,Undisclosed,,Dean Campbell,England
Sheffield Wednesday,Charlton Athletic,Free,,Nathaniel Chalobah,England
Bradford City,Northampton Town,Free,,Lee Evans,England
Mansfield Town,Plymouth Argyle,Undisclosed,,Will Evans,England
Tromsø,Hull City,Undisclosed,,Jens Hjertø-Dahl,England
Grimsby Town,Leyton Orient,Undisclosed,,Jaze Kabia,England
Everton,Sheffield Wednesday,Free,,Tyler Onyango,England
Nordsjælland,Coventry City,£23.1m,,Caleb Yirenkyi,England
Bruno Guimarães,Newcastle United,Arsenal,£75m,8 August 2026,England
Manchester United,Middlesbrough,Undisclosed,,Radek Vítek,England
Trevoh Chalobah,Chelsea,Como,£25.7m,9 August 2026,England
Aston Villa,Paris Saint-Germain,£8.5m,,Lucas Digne,England
Mjällby,Hull City,Undisclosed,,Elliot Stroud,England
Abu Kamara,Hull City,Portsmouth,Undisclosed,10 August 2026,England
Blackpool,Leicester City,Free,,Franco Ravizzoli,England
Tottenham Hotspur,West Ham United,£5m,,Manor Solomon,England
Sunderland,Wrexham,Undisclosed,,Anthony Patterson,England
Admir Bristrić,Olimpija Ljubljana,Leicester City,Undisclosed,11 August 2026,England
Southampton,Fulham,£26m,,Shea Charles,England
Sporting CP,Nottingham Forest,£34m,,Ousmane Diomande,England
Everton,Walsall,Free,,Roman Dixon,England
Crystal Palace,Everton,Undisclosed,,Brennan Johnson,England
Sheffield United,Coventry City,Undisclosed,,Gustavo Hamer,England
Everton,Crystal Palace,Undisclosed,,Dwight McNeil,England
Strasbourg,West Bromwich Albion,Undisclosed,,Rabby Nzingoula,England
Bristol Rovers,Blackpool,Undisclosed,,Luke Southwood,England
Leicester City,Stockport County,Undisclosed,,Tom Wilson-Brown,England
Gabriel Breeze,Carlisle United,Cambridge United,Undisclosed,12 August 2026,England
Wrexham,Bolton Wanderers,Undisclosed,,Lewis Brunt,England
Rayo Vallecano,Chelsea,£16.3m,,Pep Chavarría,England
Sunderland,Queens Park Rangers,Free,,Dennis Cirkin,England
Colorado Rapids,Hull City,Undisclosed,,Lucas Herrington,England
Rayo Vallecano,Hull City,Undisclosed,,Nobel Mendy,England
Marseille,Manchester City,£1.7m,,Gerónimo Rulli,England
Bradford City,Watford,Undisclosed,,Sam Walker,England
Archie Collins,Peterborough United,Huddersfield Town,Free,13 August 2026,England
Rotherham United,Bradford City,Free,,Cameron Dawson,England
Milton Keynes Dons,Peterborough United,Undisclosed,,Liam Kelly,England
Burnley,Peterborough United,Undisclosed,,Vernon Masara,England
Bournemouth,Getafe,Free,,Enes Ünal,England
Manchester United,Peterborough United,Undisclosed,,Ethan Williams,England
Baba Adeeko,Wigan Athletic,Rochdale,Undisclosed,14 August 2026,England
Bristol City,Birmingham City,Undisclosed,,Max Bird,England
Manchester City,Wigan Athletic,Free,,Finley Burns,England
Hull City,Konyaspor,Undisclosed,,Enis Destan,England
Basel,Preston North End,Undisclosed,,Léo Leroy,England
Mansfield Town,Bromley,Undisclosed,,Owen Mason,England
West Bromwich Albion,Derby County,Undisclosed,,Alex Mowatt,England
Preston North End,Portland Hearts of Pine,Free,,Felipe Rodríguez-Gentile,England
FC Kairat,Chelsea,£3.4m,,Dastan Satpayev,England
Derby County,Cheltenham Town,Free,,Andreas Weimann,England
Arne Engels,Celtic,West Ham United,£22m,15 August 2026,England
Leeds United,Hull City,Undisclosed,,Joe Gelhardt,England
Red Bull Salzburg,Hull City,Undisclosed,,Lucas Gourna-Douath,England
Union Saint-Gilloise,Crystal Palace,£21m,,Anan Khalaili,England
Watford,Sporting CP,Undisclosed,,Nestory Irankunda,England
Tottenham Hotspur,Middlesbrough,Undisclosed,,Ashley Phillips,England
Tottenham Hotspur,Atlético Madrid,£34.2m,,Cristian Romero,England
Tottenham Hotspur,Inter Milan,£25.6m,,Djed Spence,England
Tatsuki Seko,Stoke City,Urawa Red Diamonds,Undisclosed,16 August 2026,England
Taiwo Awoniyi,Nottingham Forest,Coventry City,£9m,17 August 2026,England
Strasbourg,Ipswich Town,Undisclosed,,Julio Enciso,England
Southampton,Northampton Town,Undisclosed,,Joe O'Brien-Whitmarsh,England
Reading,AFC Wimbledon,Free,,Andy Yiadom,England
Tobias Brenan,Wigan Athletic,Bromley,Undisclosed,18 August 2026,England
Benfica,Newcastle United,£30m,,Amar Dedić,England
Barnsley,Silkeborg,Undisclosed,,Maël de Gevigney,England
Manchester United,Stockport County,Undisclosed,,Ethan Ennis,England
Real Salt Lake,Crystal Palace,£11.1m,,Zavier Gozo,England
Burnley,Stevenage,Undisclosed,,Michael Mellon,England
Manchester City,Barcelona,£65m,,Rodri,England
West Ham United,Walsall,Free,,Tom Wooster,England
Harvey Araujo,Fulham,Burton Albion,Undisclosed,19 August 2026,England
Fenerbahçe,Coventry City,Undisclosed,,Sidiki Cherif,England
Brest,Burnley,Undisclosed,,Grégoire Coudert,England
West Ham United,Reading,Undisclosed,,George Earthy,England
Borussia Mönchengladbach,Leeds United,£8.5m,,Nico Elvedi,England
Heart of Midlothian,Chelsea,Free,,Alfie Osbourne,England
Manchester City,Al Qadsiah,£52m,,Tijjani Reijnders,England
Atlético Madrid,Aston Villa,£17m,,Matteo Ruggeri,England
Parma,Aston Villa,£30m,,Zion Suzuki,England
Anel Ahmedhodžić,Feyenoord,Burnley,Undisclosed,20 August 2026,England
Blackburn Rovers,Derby County,Free,,Ryan Hedges,England
Ipswich Town,Stoke City,Undisclosed,,George Hirst,England
Dan Bentley,Wolverhampton Wanderers,Coventry City,Undisclosed,21 August 2026,England
Liverpool,Inter Milan,£30m,,Curtis Jones,England
Aston Villa,Arsenal,£51m,,Ezri Konsa,England
Leicester City,Northampton Town,Undisclosed,,Nathan Opoku,England
Bolton Wanderers,Millwall,Free,,Jordi Osei-Tutu,England
Plymouth Argyle,Salford City,Undisclosed,,Brendan Wiredu,England
Gillingham,Newport County,Free,,Jake Turner,England
Jules Ahoka,Royal Antwerp,Sunderland,£8.6m,24 August 2026,England
Leeds United,Middlesbrough,Free,,Sam Byram,England
South Shields,Grimsby Town,Undisclosed,,Sonny Finch,England
Maribor,Walsall,Free,,James Furlong,England
Rotherham United,Sheffield Wednesday,Free,,Reece James,England
Elijah Adebayo,Luton Town,Bristol City,Free,25 August 2026,England
Brighton & Hove Albion,Manchester United,£65m,,Carlos Baleba,England
Chelsea,Reading,Undisclosed,,Jeremiah Berkeley-Agyepong,England
Bristol City,AFC Wimbledon,Free,,Harry Cornick,England
Young Boys,Brighton & Hove Albion,Undisclosed,,Jaouen Hadjam,England
Wolverhampton Wanderers,Sparta Prague,Undisclosed,,Ki-Jana Hoever,England
Chelsea,Strasbourg,£5.1m,,Omari Kellyman,England
Barnsley,Lechia Gdańsk,Undisclosed,,Kacper Łopata,England
Gillingham,Reading,Free,,Conor Masterson,England
Rochdale,Salford City,Free,,Tom Myles,England
Preston North End,Genoa,Undisclosed,,Milutin Osmajić,England
Manchester City,Tottenham Hotspur,£75m,,Sávio,England
Krystian Bielik,West Bromwich Albion,Cardiff City,Undisclosed,26 August 2026,England
Lille,Manchester City,£81.4m,,Ayyoub Bouaddi,England
Bournemouth,Milton Keynes Dons,Undisclosed,,Will Dennis,England
Barnsley,Blackpool,Undisclosed,,Josh Earl,England
Manchester City,Newcastle United,£52m,,Nico González,England
Inter Turku,Leicester City,Undisclosed,,Ilari Kangasniemi,England
Austin FC,Bolton Wanderers,£1.64m,,Jayden Nelson,England
AFC Fylde,Peterborough United,"£600,000",,Danny Ormerod,England
Brentford,Coventry City,£6m,,Ethan Pinnock,England
Josh Austerfield,Salford City,Rotherham United,Undisclosed,27 August 2026,England
Nice,Hull City,Undisclosed,,Mohamed-Ali Cho,England
Chelsea,Nottingham Forest,£45m,,Liam Delap,England
Porto,Swansea City,£3.4m,,Stephen Eustáquio,England
Bayern Munich,Aston Villa,Free,,Leon Goretzka,England
Harrogate Town,Cambridge United,Undisclosed,,Cathal Heffernan,England
Manchester City,Wrexham,Undisclosed,,Issa Kaboré,England
Oxford United,Preston North End,Undisclosed,,Stanley Mills,England
Casa Pia,Portsmouth,Undisclosed,,Iyad Mohamed,England
Bayer Leverkusen,Ipswich Town,Undisclosed,,Exequiel Palacios,England
Luton Town,Bromley,Undisclosed,,George Saville,England
Augsburg,Southampton,Undisclosed,,Keven Schlotterbeck,England
Levante,West Bromwich Albion,Undisclosed,,Kareem Tunde,England
Sporting CP,Wolverhampton Wanderers,Undisclosed,,João Virgínia,England
Gavin Bazunu,Southampton,Bolton Wanderers,Undisclosed,28 August 2026,England
West Ham United,Brentford,£35m,,El Hadji Malick Diouf,England
Gent,Bolton Wanderers,Undisclosed,,Atsuki Itō,England
Chelsea,Aston Villa,£47.5m,,Nicolas Jackson,England
Cambridge United,Stockport County,Undisclosed,,Mamadou Jobe,England
Watford,Panathinaikos,£7m,,Imrân Louza,England
Torquay United,Crawley Town,Undisclosed,,Dylan Morgan,England
Kilmarnock,Swindon Town,Undisclosed,,Jack Thomson,England
West Ham United,Southampton,£1m,,James Ward-Prowse,England
Coniah Boyce-Clarke,Aldershot Town,Tranmere Rovers,Free,29 August 2026,England
Eintracht Frankfurt,Leeds United,Undisclosed,,Michael Zetterer,England
Toby Collyer,Manchester United,West Bromwich Albion,Undisclosed,30 August 2026,England
Wolverhampton Wanderers,LASK,Undisclosed,,Saša Kalajdžić,England
Middlesbrough,Al-Ettifaq,Undisclosed,,Abdoulaye Kanté,England
Västerås,Lincoln City,Undisclosed,,Mikkel Ladefoged,England
AFC Wimbledon,Burton Albion,Free,,Joe Lewis,England
Aston Villa,Chelsea,£7.5m,,Emiliano Martínez,England
Deportivo Cali,Brighton & Hove Albion,£3.5m,,Matías Orozco,England
Annecy,Barnsley,Undisclosed,,Ben Hamed Touré,England
Aston Villa,Al Hilal,£51m,,Ollie Watkins,England
Allan,Palmeiras,Manchester City,£32m,31 August 2026,England
Viking,West Ham United,Undisclosed,,Edvin Austbø,England
Liverpool,Celta Vigo,Undisclosed,,Stefan Bajcetic,England
Paris Saint-Germain,Liverpool,£106m,,Bradley Barcola,England
Chelsea,Servette,£2.5m,,David Datro Fofana,England
Crystal Palace,Nottingham Forest,£22m,,Daniel Muñoz,England
Hajduk Split,Middlesbrough,£4.3m,,Rokas Pukštas,England
Exeter City,Wycombe Wanderers,Undisclosed,,Jayden Wareham,England
Tosin Adarabioyo,Chelsea,Tottenham Hotspur,£10m,1 September 2026,England
Elche,Fulham,Undisclosed,,David Affengruber,England
Stuttgart,Brighton & Hove Albion,£15.5m,,Chema Andrés,England
Independiente del Valle,Sunderland,Undisclosed,,Juan Riquelme Angulo,England
Union Berlin,Hull City,£12.8m,,Ilyas Ansah,England
PSV Eindhoven,Watford,Free,,Myron Boadu,England
San Diego FC,Stoke City,Undisclosed,,Luca Bombino,England
Genk,Liverpool,£30m,,Lucca Brughmans,England
Strasbourg,Crystal Palace,Undisclosed,,Ben Chilwell,England
Hull City,Genoa,£3.4m,,Cody Drameh,England
Chelsea,Manchester City,£125m,,Enzo Fernández,England
Lille,Newcastle United,£51.4m,,Matias Fernandez-Pardo,England
Burnley,Ipswich Town,£20m,,Zian Flemming,England
Lyon,Sunderland,£30m,,Malick Fofana,England
Chelsea,RB Leipzig,£14.6m,,Marc Guiu,England
AFC Wimbledon,Swindon Town,Undisclosed,,Antwoine Hackford,England
Brighton & Hove Albion,Burnley,Undisclosed,,Igor Julio,England
Southampton,Aston Villa,£25m,,Taylor Harwood-Bellis,England
Everton,Hull City,£13m,,Tim Iroegbunam,England
Arsenal,Barcelona,£8.6m,,Gabriel Jesus,England
Notts County,Bromley,Undisclosed,,Jodi Jones,England
Blackpool,Colchester United,Undisclosed,,Kylian Kouassi,England
Leyton Orient,Motherwell,Undisclosed,,Dylan Levitt,England
Salford City,Notts County,Undisclosed,,Rosaire Longelo,England
Lyon,Everton,Undisclosed,,Ainsley Maitland-Niles,England
Stevenage,Millwall,Undisclosed,,Filip Marschall,England
Paris Saint-Germain,Aston Villa,£47m,,Ibrahim Mbaye,England
Houston Dynamo,Stoke City,Undisclosed,,Jack McGlynn,England
Doncaster Rovers,Rochdale,Undisclosed,,Glenn Middleton,England
Olympiacos,Hull City,£13m,,Christos Mouzakitis,England
Everton,Manchester City,£60m,,Iliman Ndiaye,England
AFC Wimbledon,Charlton Athletic,Undisclosed,,Junior Nkeng,England
Genoa,Hull City,£12m,,Brooke Norton-Cuffy,England
Sheffield United,Wrexham,£6.5m,,Callum O'Hare,England
Hellas Verona,Lincoln City,Undisclosed,,Daniel Oyegoke,England
Crystal Palace,Derby County,Undisclosed,,David Ozoh,England
Everton,Torino,Undisclosed,,Nathan Patterson,England
NEC,West Bromwich Albion,£1m,,Brayann Pereira,England
Bristol City,Leicester City,Undisclosed,,Emil Riis,England
Wrexham,Salford City,Undisclosed,,Dan Scarr,England
Sunderland,Clermont Foot,Undisclosed,,Luís Semedo,England
Burton Albion,Portsmouth,Undisclosed,,Tyrese Shade,England
Leicester City,Hull City,Undisclosed,,Sorba Thomas,England
Marseille,Crystal Palace,Undisclosed,,Quinten Timber,England
Burnley,Auxerre,Undisclosed,,Axel Tuanzebe,England
Brighton & Hove Albion,Burton Albion,Undisclosed,,Caylan Vickers,England
Arsenal,Hamburg,£8.6m,,Fábio Vieira,England
Chelsea,Strasborug,£6.86m,,Deivid Washington,England
Crystal Palace,Wigan Athletic,Undisclosed,,Joe Whitworth,England
Burnley,Wrexham,Undisclosed,,Joe Worrall,England
Denner,Corinthians,Chelsea,£8.6m,3 September 2026,England
Tomas Kalinauskas,Burton Albion,Roda JC,,30 June 2026[701],England
Andreas Weimann,Derby County,Rapid Wien,,30 June 2026[702],England
Yan Valery,Sheffield Wednesday,Young Boys,,30 June 2026[703],England
Seny Dieng,Middlesbrough,Sheffield Wednesday,,27 February 2026[704],England
Jack Walton,Preston North End,Cambridge United,,22 April 2026[705],England
Zach Jeacock,Lincoln City,Northampton Town,,30 June 2027[706],England
Tommy Leigh,Bradford City,Bristol Rovers,,30 June 2027[707],England
Bruno Alves,Cruzeiro,Norwich City,,30 June 2027[708],England
Alfie May,Huddersfield Town,Doncaster Rovers,,30 June 2027[709],England
Milan Aleksić,Sunderland,Partizan,,30 June 2027[710],England
Tommy Simkin,Stoke City,Doncaster Rovers,,30 June 2027[711],England
Dion Charles,Huddersfield Town,Blackpool,,30 June 2027[173],England
Louie Moulden,Norwich City,Accrington Stanley,,21 May 2027[712],England
Gassan Ahadme,Charlton Athletic,Cambridge United,,30 June 2027[714],England
Logan Briggs,Leicester City,Northampton Town,,30 June 2027[716],England
Ollie Wright,Southampton,Gillingham,,30 June 2027[245],England
Hindolo Mustapha,Crystal Palace,Wigan Athletic,,30 June 2027[721],England
Zach Mitchell,Charlton Athletic,St Johnstone,,30 June 2027[722],England
Josh Clarke,Partick Thistle,Doncaster Rovers,,31 December 2026[724],England
Romelle Donovan,Brentford,Sheffield United,,30 June 2027[730],England
Harrison Ashby,Newcastle United,Luton Town,,30 June 2027[733],England
Pemi Aderoju,Peterborough United,Crawley Town,,30 June 2027[737],England
Yusuf Akhamrich,Tottenham Hotspur,Leyton Orient,,30 June 2027[740],England
Jusef Erabi,Genk,Preston North End,,30 June 2027[745],England
