player,moving_from,moving_to,fee,date,register_country
Isac Lidberg,Darmstadt 98,Borussia Mönchengladbach,fromDarmstadt 98,Summer 2026,Germany
Jan Leszczyński,Legia Warsaw,Borussia Mönchengladbach,fromLegia Warsaw,Summer 2026,Germany
Kō Itakura,Ajax,Borussia Mönchengladbach,fromAjax,Summer 2026,Germany
Enzo Leopold,Hannover 96,Borussia Mönchengladbach,fromHannover 96,Summer 2026,Germany
Daiki Hashioka,Slavia Prague,Borussia Mönchengladbach,"on loan fromSlavia Prague, previously on loan atGent",Summer 2026,Germany
David Herold,Karlsruher SC,Borussia Mönchengladbach,fromKarlsruher SC,Summer 2026,Germany
Yukhym Konoplya,Shakhtar Donetsk,Borussia Mönchengladbach,fromShakhtar Donetsk,Summer 2026,Germany
Hugo Bolin,Malmö,Borussia Mönchengladbach,"fromMalmö, previously on loan",Summer 2026,Germany
Zento Uno,Shimizu S-Pulse,Borussia Mönchengladbach,fromShimizu S-Pulse,Summer 2026,Germany
Yannik Engelhardt,Borussia Mönchengladbach,Como,loan return toComo,Summer 2026,Germany
Alejo Sarco,Borussia Mönchengladbach,Bayer Leverkusen,loan return toBayer Leverkusen,Summer 2026,Germany
Giovanni Reyna,Borussia Mönchengladbach,Strasbourg,toStrasbourg,Summer 2026,Germany
Kōta Takai,Borussia Mönchengladbach,Tottenham Hotspur,loan return toTottenham Hotspur,Summer 2026,Germany
Haris Tabaković,Borussia Mönchengladbach,TSG Hoffenheim,loan return toTSG Hoffenheim,Summer 2026,Germany
Nathan Ngoumou,Borussia Mönchengladbach,Nice,toNice,Summer 2026,Germany
